,Composition,As-cast/other,HardGPa
244,Al20.8Cr20.8Fe20.8Ni20.8Mo16.7,1.0,8.38
245,Al20Co10Cr20Cu10Fe20Ni20,1.0,5.4
246,Al20Co10Cr20Fe20Ni20Mo10,1.0,7.86
247,Al20Co16Cr16Fe16Ni16Mn16,1.0,5.29
248,Al20Co20Cr10Cu10Fe20Ni20,1.0,5.35
249,Al20Co20Cr20Cu10Fe10Ni20,1.0,5.75
250,Al20Co20Cr20Cu10Fe20Ni10,1.0,5.92
251,Al20Co20Cr20Cu20Fe20,1.0,3.99
252,Al20Co20Cr20Cu20Ni20,1.0,4.07
253,Al20Co20Cr20Fe10Ni20Mo10,1.0,7.4
254,Al20Co20Cr20Fe20Ni10Mo10,1.0,6.94
255,Al20Co20Cr20Fe20Ni20,1.0,3.43
256,Al20Co20Cu20Fe20Ni20,1.0,5.26
257,Al20Co20Fe20Ni20Mo20,1.0,7.36
258,Al20Co25Cr5Fe25Ni25,1.0,3.79
259,Al20Co26.7Cr26.7Fe26.7,1.0,6.82
260,Al20Co26.7Fe26.7Ni26.7,1.0,3.76
261,Al20Cr13.3Cu13.3Fe13.3Ni13.3Ti13.3V13.3,1.0,8.78
262,Al20Cr20Cu20Ni20Ti20,1.0,5.03
263,Al20Cr20Fe20Ni20Mo20,1.0,8.88
264,Al20Cr20Fe20Ni20Ti20,1.0,6.74
265,Al20Cr26.7Fe26.7Co26.7,1.0,6.82
266,Al20Fe26.7Co26.7Ni26.7,1.0,3.76
267,Al21.1Co17.5Cr17.5Fe17.5Ni17.5Ti8.8,1.0,7.03
268,Al21.3Co21.3Cr15Fe21.3Ni21.3,1.0,5.0
269,Al21.3Co21.3Cr21.3Fe15Ni21.3,1.0,5.47
270,Al21.3Co21.3Cr21.3Fe21.3Ni15,1.0,5.44
271,Al21.3Cr15Fe21.3Co21.3Ni21.3,1.0,5.0
272,Al21.3Cr21.3Fe15Co21.3Ni21.3,1.0,5.47
273,Al21.3Cr21.3Fe21.3Co21.3Ni15,1.0,5.44
274,Al21.7Cr21.7Cu21.7Fe21.7Ni13,1.0,4.85
275,Al21.7Cr21.7Fe21.7Cu21.7Ni13,1.0,4.85
276,Al22.2Co11.1Cu22.2Fe22.2Ni22.2,1.0,5.34
277,Al22.2Co22.2Cr22.2Cu11.1Fe22.2,1.0,6.27
278,Al22.2Co22.2Cr22.2Fe22.2Mo11.1,1.0,8.4
279,Al22.2Co22.2Cu11.1Fe22.2Ni22.2,1.0,5.73
280,Al22.2Cr22.2Cu11.1Fe22.2Ni22.2,1.0,5.24
281,Al22.2Cr22.2Fe22.2Co22.2Cu11.1,1.0,6.27
282,Al22.2Cr22.2Fe22.2Co22.2Mo11.1,1.0,8.4
283,Al22.2Cr22.2Fe22.2Cu11.1Ni22.2,1.0,5.24
284,Al22.2Cr22.2Fe22.2Ni22.2Mo11.1,1.0,6.1
285,Al22.2Fe22.2Co11.1Cu22.2Ni22.2,1.0,5.34
286,Al22.2Fe22.2Co22.2Cu11.1Ni22.2,1.0,5.73
287,Al22.5Co10Cr22.5Fe22.5Ni22.5,1.0,5.29
288,Al22.5Co22.5Cr10Fe22.5Ni22.5,1.0,4.67
289,Al22.5Co22.5Cr22.5Fe10Ni22.5,1.0,5.76
290,Al22.5Co22.5Cr22.5Fe22.5Ni10,1.0,5.37
291,Al22.5Co25Cr2.5Fe25Ni25,1.0,4.77
292,Al22.5Cr10Fe22.5Co22.5Ni22.5,1.0,4.67
293,Al22.5Cr2.5Fe25Co25Ni25,1.0,4.77
294,Al22.5Cr22.5Fe10Co22.5Ni22.5,1.0,5.76
295,Al22.5Cr22.5Fe22.5Co10Ni22.5,1.0,5.29
296,Al22.5Cr22.5Fe22.5Co22.5Ni10,1.0,5.37
297,Al22Co18.3Cr18.3Fe18.3Ni18.3Ti4.6,1.0,6.54
298,Al23.1Co15.4Cr15.4Cu15.4Fe15.4Ni15.4,1.0,4.98
299,Al23.1Cr15.4Cu15.4Fe15.4Ni15.4Mn15.4,1.0,7.04
300,Al23.1Cr15.4Cu15.4Fe15.4Ni30.8,1.0,5.35
301,Al23.1Cr15.4Fe15.4Co15.4Cu15.4Ni15.4,1.0,4.98
302,Al23.1Cr15.4Fe15.4Cu15.4Ni30.8,1.0,5.35
303,Al23.8Co19Cr19Fe19Ni19,1.0,4.83
304,Al23.8Co23.8Cr23.8Fe23.8Ni5,1.0,6.03
305,Al23.8Co23.8Cr23.8Fe4.8Ni23.8,1.0,6.25
306,Al23.8Co23.8Cr23.8Fe5Ni23.8,1.0,6.52
